#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,,,,,,,english,speaker
0,ACHIEVEMENT_CATEGORY_1,冒険,Aventura,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIAchievement.arc,uGUIAchievement.arc,0,,,,,,,,,
0,ACHIEVEMENT_CATEGORY_1,冒険,Aventura,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIArisenCardPop.arc,uGUIArisenCardPop.arc,0,,,,,,,,,
0,ACHIEVEMENT_CATEGORY_1,冒険,Aventura,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,0,,,,,,,,,
1,ACHIEVEMENT_CATEGORY_2,戦闘,Combate,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIAchievement.arc,uGUIAchievement.arc,1,,,,,,,,,
1,ACHIEVEMENT_CATEGORY_2,戦闘,Combate,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIArisenCardPop.arc,uGUIArisenCardPop.arc,1,,,,,,,,,
1,ACHIEVEMENT_CATEGORY_2,戦闘,Combate,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,1,,,,,,,,,
2,ACHIEVEMENT_CATEGORY_3,成長,Crescer,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIAchievement.arc,uGUIAchievement.arc,2,,,,,,,,,
2,ACHIEVEMENT_CATEGORY_3,成長,Crescer,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIArisenCardPop.arc,uGUIArisenCardPop.arc,2,,,,,,,,,
2,ACHIEVEMENT_CATEGORY_3,成長,Crescer,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,2,,,,,,,,,
3,ACHIEVEMENT_CATEGORY_4,収集,Coleção,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIAchievement.arc,uGUIAchievement.arc,3,,,,,,,,,
3,ACHIEVEMENT_CATEGORY_4,収集,Coleção,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIArisenCardPop.arc,uGUIArisenCardPop.arc,3,,,,,,,,,
3,ACHIEVEMENT_CATEGORY_4,収集,Coleção,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,3,,,,,,,,,
4,ACHIEVEMENT_CATEGORY_5,その他,Outro,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIAchievement.arc,uGUIAchievement.arc,4,,,,,,,,,
4,ACHIEVEMENT_CATEGORY_5,その他,Outro,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIArisenCardPop.arc,uGUIArisenCardPop.arc,4,,,,,,,,,
4,ACHIEVEMENT_CATEGORY_5,その他,Outro,ui\00_message\achievement\achievement_category.gmd,\ui\uGUIGreatPurpose.arc,uGUIGreatPurpose.arc,4,,,,,,,,,
